reference,nom_article,partie_vetement,produits_coloration,matieres,etape,pourcentage_matieres
100051,vêtement ajusté,extérieur,colorants dispersés,coton,Preparation de fil,3
100051,vêtement ajusté,extérieur,colorants dispersés,polyester,Préparation de tissu,53
100051,vêtement ajusté,extérieur,colorants dispersés,polyester,Teinture et finition,44
100051,vêtement ajusté,extérieur,colorants dispersés,polyester,Preparation de fil,3
100051,vêtement ajusté,extérieur,colorants dispersés,élasthanne,Préparation de tissu,53
100051,vêtement ajusté,extérieur,colorants dispersés,élasthanne,Teinture et finition,44
100051,vêtement ajusté,extérieur,colorants dispersés,élasthanne,Preparation de fil,3
100051,vêtement ajusté,extérieur,colorants azoïques,coton,Préparation de tissu,53
100051,vêtement ajusté,extérieur,colorants azoïques,coton,Teinture et finition,44
100051,vêtement ajusté,extérieur,colorants azoïques,coton,Preparation de fil,3
100051,vêtement ajusté,extérieur,colorants azoïques,polyester,Préparation de tissu,53
100051,vêtement ajusté,extérieur,colorants azoïques,polyester,Teinture et finition,44
100051,vêtement ajusté,extérieur,colorants azoïques,polyester,Preparation de fil,3
100051,vêtement ajusté,extérieur,colorants azoïques,élasthanne,Préparation de tissu,53
100051,vêtement ajusté,extérieur,colorants azoïques,élasthanne,Teinture et finition,44
100051,vêtement ajusté,extérieur,colorants azoïques,élasthanne,Preparation de fil,3
100052,robe imprimée,extérieur,colorants dispersés,polyester,Teinture et finition,100
100053,robe côtelée,extérieur,colorants au chrome,coton,Préparation de tissu,96
100053,robe côtelée,extérieur,colorants au chrome,coton,Preparation de fil,4
100053,robe côtelée,extérieur,colorants au chrome,élasthanne,Préparation de tissu,96
100053,robe côtelée,extérieur,colorants au chrome,élasthanne,Preparation de fil,4
100053,robe côtelée,extérieur,colorants azoïques,coton,Préparation de tissu,96
100053,robe côtelée,extérieur,colorants azoïques,coton,Preparation de fil,4
100053,robe côtelée,extérieur,colorants azoïques,élasthanne,Préparation de tissu,96
100053,robe côtelée,extérieur,colorants azoïques,élasthanne,Preparation de fil,4
100054,chemise habillée imprimée,extérieur,colorants acides, viscose, Production de fibres,100
100055,robe en velours,extérieur,colorants dispersés,polyester,Teinture et finition,92
100055,robe en velours,extérieur,colorants dispersés,polyester,Preparation de fil,8
100055,robe en velours,extérieur,colorants dispersés,élasthanne,Teinture et finition,92
100055,robe en velours,extérieur,colorants dispersés,élasthanne,Preparation de fil,8
100055,robe en velours,extérieur,colorants azoïques,polyester,Teinture et finition,92
100055,robe en velours,extérieur,colorants azoïques,polyester,Preparation de fil,8
100055,robe en velours,extérieur,colorants azoïques,élasthanne,Teinture et finition,92
100055,robe en velours,extérieur,colorants azoïques,élasthanne,Preparation de fil,8
100056,robe à épaulette,extérieur,colorants au chrome,coton,Préparation de tissu,100
100057,robe côtelée,extérieur,colorants au chrome,coton,Préparation de tissu,96
100057,robe côtelée,extérieur,colorants au chrome,coton,Preparation de fil,4
100057,robe côtelée,extérieur,colorants au chrome,élasthanne,Préparation de tissu,96
100057,robe côtelée,extérieur,colorants au chrome,élasthanne,Preparation de fil,4
100057,robe côtelée,extérieur,colorants azoïques,coton,Préparation de tissu,96
100057,robe côtelée,extérieur,colorants azoïques,coton,Preparation de fil,4
100057,robe côtelée,extérieur,colorants azoïques,élasthanne,Préparation de tissu,96
100057,robe côtelée,extérieur,colorants azoïques,élasthanne,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants acides,polyester,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants acides,polyester, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants acides,polyester,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants acides, viscose,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants acides, viscose, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants acides, viscose,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose,Preparation de fil,4
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne,Teinture et finition,63
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne, Production de fibres,33
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants acides,polyester,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants acides,polyester, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants acides,polyester,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants acides, viscose,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants acides, viscose, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants acides, viscose,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose,Preparation de fil,4
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne,Teinture et finition,63
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne, Production de fibres,33
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés,polyester,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés, viscose,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés,élasthanne,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants acides,polyester,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants acides,polyester, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants acides,polyester,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants acides, viscose,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants acides, viscose, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants acides, viscose,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants acides,élasthanne,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques,polyester,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques, viscose,Preparation de fil,4
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne,Teinture et finition,63
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne, Production de fibres,33
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques,élasthanne,Preparation de fil,4
300003,pantalon mini-jupe ,extérieur,colorants dispersés,polyester,Teinture et finition,90
300003,pantalon mini-jupe ,extérieur,colorants dispersés,polyester,Preparation de fil,10
300003,pantalon mini-jupe ,extérieur,colorants dispersés,élasthanne,Teinture et finition,90
300003,pantalon mini-jupe ,extérieur,colorants dispersés,élasthanne,Preparation de fil,10
300003,pantalon mini-jupe ,extérieur,colorants azoïques,polyester,Teinture et finition,90
300003,pantalon mini-jupe ,extérieur,colorants azoïques,polyester,Preparation de fil,10
300003,pantalon mini-jupe ,extérieur,colorants azoïques,élasthanne,Teinture et finition,90
300003,pantalon mini-jupe ,extérieur,colorants azoïques,élasthanne,Preparation de fil,10
300004,mini jupe à volants,extérieur,colorants dispersés,polyester,Teinture et finition,100
300004,mini jupe à volants,extérieur,colorants dispersés,polyester,Teinture et finition,100
300004,mini jupe à volants,extérieur,colorants dispersés,polyester,Teinture et finition,100
300004,mini jupe à volants,extérieur,colorants dispersés,polyester,Teinture et finition,100
300004,mini jupe à volants,doublure,colorants dispersés,polyester,Teinture et finition,100
300004,mini jupe à volants,doublure,colorants dispersés,polyester,Teinture et finition,100
300004,mini jupe à volants,doublure,colorants dispersés,polyester,Teinture et finition,100
300004,mini jupe à volants,doublure,colorants dispersés,polyester,Teinture et finition,100
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyester,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyester,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyester,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyester,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyamide,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyamide,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyamide,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,polyamide,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants dispersés,acrylique,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants dispersés,acrylique,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants dispersés,acrylique,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants dispersés,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,acrylique,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants dispersés,laine,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants dispersés,laine,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants dispersés,laine,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants dispersés,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,laine,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants dispersés,chameau,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants dispersés,chameau,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants dispersés,chameau,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants dispersés,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,chameau,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants dispersés,élasthanne,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants dispersés,élasthanne,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants dispersés,élasthanne,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants dispersés,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants dispersés,élasthanne,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyester,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyester,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyester,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyester,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyamide,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyamide,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyamide,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,polyamide,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants réactifs,acrylique,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants réactifs,acrylique,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants réactifs,acrylique,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants réactifs,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,acrylique,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants réactifs,laine,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants réactifs,laine,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants réactifs,laine,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants réactifs,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,laine,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants réactifs,chameau,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants réactifs,chameau,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants réactifs,chameau,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants réactifs,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,chameau,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants réactifs,élasthanne,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants réactifs,élasthanne,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants réactifs,élasthanne,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants réactifs,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants réactifs,élasthanne,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyester,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,polyamide,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,acrylique,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,laine,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,chameau,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants acides,élasthanne,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyester,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyester,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyester,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyester,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyester,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyamide,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyamide,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyamide,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyamide,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants azoïques,polyamide,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants azoïques,acrylique,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants azoïques,acrylique,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants azoïques,acrylique,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants azoïques,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants azoïques,acrylique,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants azoïques,acrylique,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants azoïques,laine,Teinture et finition,33
300009,short en jersey doux au toucher,extérieur,colorants azoïques,laine,Assemblée,22
300009,short en jersey doux au toucher,extérieur,colorants azoïques,laine,Distribution,21
300009,short en jersey doux au toucher,extérieur,colorants azoïques,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants azoïques,laine,Elimination,10
300009,short en jersey doux au toucher,extérieur,colorants azoïques,laine,Preparation de fil,4
300009,short en jersey doux au toucher,extérieur,colorants azoïques,chameau,Teinture et finition,33
